"filename", "language", "JSON", "Swift", "C++", "Markdown", "YAML", "XML", "HTML", "Dart", "Properties", "Gradle", "comment", "blank", "total"
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\ui_widget\names_list_show\naming_widgets.dart\player_count_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\ui_widget\names_list_show\number_holder.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 2, 4, 54
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\ui_widget\names_list_show\player_naming_frame_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 7, 10, 142
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\widgets\player_name_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 177, 0, 0, 10, 32, 219
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\x_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\utils\dev_log.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\linux\main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\linux\my_application.cc", "C++", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\linux\my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 15
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\macos\Runner\AppDelegate.swift", "Swift", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\pubspec.yaml", "YAML", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 57, 14, 134
